fid;name;latitude;longitude;gebied;domeinen;website;koepels;initiatief_type;location_type
127;Habitat tuin;51.91422222;4.479861111;Stadsdriehoek;Groen;https://www.cooperatiestek.nl/project/educatieve-buurttuin/;;plek;point
128;Trappentuinen Ketelaar- en Blekerstraat;51.913914;4.481643;Stadsdriehoek;Groen;;;plek;point
129;Klimplantentuin Galerij en Binnenrotte;51.924986;4.481317;Stadsdriehoek;Groen;https://www.nieuwsbrievenrotterdam.nl/nieuwsbrief/?accessible=&id=e04050a8-b691-4662-a279-7da42fc553e9&idc=41379&ida=67357#name41379;;plek;point
130;Trappentuinen Bleker- en Ketelaarstraat;51.915675;4.481565;Stadsdriehoek;Groen;;;plek;point
131;Vredestuin Centrum;51.92541667;4.480444444;Stadsdriehoek;Groen;www.groengoedrotterdam.com;;plek;point
132;Van Swietenhof;51.886087;4.485587;Carnisse;Groen;https://nl-nl.facebook.com/vanswietenhof/;;plek;point
133;Katendrechtse Lagedijkplein;51.890595;4.478642;Carnisse;Groen;;;plek;point
134;Amelandseplein zelfbeheer;51.888188;4.483843;Carnisse;Groen;https://www.ad.nl/rotterdam/plantenbieb-op-het-amelandseplein-mag-toch-blijven~a819a5d3/?referrer=https%3A%2F%2Fwww.google.com%2F;;plek;point
135;Groene Oase op Zuid;51.885505;4.481273;Carnisse;Groen;https://www.degroeneoaseopzuid.nl/;;plek;point
136;Otje (O-tje) Stichting Het (tuin van);51.88597222;4.462083333;Charlois;Groen;https://hetotje.nl/;;plek;point
137;Verborgen Geheim - Binnentuinvereniging het;51.89181291;4.419027467;Heijplaat;Groen;https://www.facebook.com/binnentuinhvg/;;plek;point
138;Charloisse Kerktuin;51.89280556;4.466444444;Oud Charlois;Groen;"""www.oudekerkcharlois.nl";;plek;point
139;Ontmoetingstuin (ook: Hassan Jatimtuin);51.893717;4.466023;Oud Charlois;Groen;https://fb.watch/ofFVKyhxoj/ en https://www.facebook.com/Ontmoetingstuin;;plek;point
140;Boergoense Vliet (Charlois aan de Vliet);51.88691667;4.465805556;Oud Charlois;Groen;3082 KX;;plek;point
141;BAD (B.A.D.) Stichting;51.88641667;4.467;Oud Charlois;Groen;https://www.foundationbad.nl/;;plek;point
142;Hugohofje;51.887;4.469916667;Oud Charlois;Groen;https://www.facebook.com/Hugohofje/;;plek;point
143;Arboretum Pendrecht;51.86983333;4.470083333;Pendrecht;Groen;https://www.facebook.com/ArboretumPendrecht/   en  http://www.vitaalpendrecht.nl/;;plek;point
144;Cultuurwerkplaats Tarwewijk - Binnentuin;51.89488889;4.49325;Tarwewijk;Groen;https://www.facebook.com/cultuurwerkplaatstarwewijk en https://vakmanstad.nl/vakmanstad-op-de-akker/;;plek;point
145;Buurttuin Mijnsherenlaan;51.891851;4.489307;Tarwewijk;Groen;https://www.nieuwsbrievenrotterdam.nl/nieuwsbrief/?accessible=&id=028f4d5b-df5b-455a-8c28-a1aac4fa0052&idc=30805&ida=67357#name30805;;plek;point
146;Hof van Bas;51.89234552;4.478373357;Tarwewijk;Groen;Instagram @hofvanbas en  https://www.houseofhope.nl/;;plek;point
147;Tiny House Community de Kleine Burg;51.87309;4.50361;Zuiderpark;Groen;www.dekleineburg.nl;;plek;point
148;Veldentuin of Bornerveldtuin;51.871515;4.482882;Zuidwijk Slinge;Groen;https://www.skar-ateliers.nl/locaties/bornerveld/;;plek;point
150;Stadsherder (bij Buurttuin);51.90675;4.441722222;Bospolder;Groen;https://www.facebook.com/lorenzo.bertolotto.5;;plek;point
151;Huis van de toekomst binnentuin;51.91201518;4.442942173;Bospolder;Groen;https://www.huisvandetoekomst.org/;;plek;point
152;Bollenpandje Buitenboel;51.90930556;4.44425;"Bospolder; Tussendijken";Groen;https://nl-nl.facebook.com/HetBollenpandjeBoTu/;;plek;point
153;Park 1943 - actieve bewoners;51.91297222;4.439444444;"Bospolder; Tussendijken";Groen;www.delfshavencooperatie.nl/park-1943;;plek;point
154;De Nieuwe Tuin;51.90827778;4.460944444;Delfshaven;Groen;www.facebook.com/DeNieuweTuinRotterdam;;plek;point
155;Havenstraattuin;51.90529622;4.45241662;Delfshaven;Groen;;;plek;point
156;Pluktuin Lange Dijkstraat;51.906456;4.451512;Delfshaven;Groen;;;plek;point
157;Schat van Schoonderloo;51.90613889;4.453055556;Delfshaven;Groen;http://www.schatvanschoonderloo.nl/;;plek;point
158;Tuin op de Pier;51.90136111;4.459833333;Schiemond;Groen;www.tuinopdepier.nl;;plek;point
159;Spoortuin - De;51.92302778;4.456833333;Middelland;Groen;www.instagram.com/spoortuin/  –  https://huizemiddelland.nl/locaties/de-spoortuin;;plek;point
160;Graaf Florisstraat: Regentuinen;51.91952778;4.457472222;Middelland;Groen;www.graafflorisstraat.nl;;plek;point
161;Graaf Florisstraat (vereniging ter bevordering);51.91933333;4.457472222;Middelland;Groen;www.graafflorisstraat.nl;;plek;point
162;"Paleistuin Wijkpaleis 
";51.91508333;4.460388889;Middelland;Groen;https://www.wijkpaleis.nl/;;plek;point
163;Het Dierenlandje;51.91938889;4.461527778;Middelland;Groen;www.facebook.com/Dierenlandje;;plek;point
164;Palet;51.91122222;4.458388889;Middelland;Groen;www.madeby.works;;plek;point
165;Dorpsplein Marconistraat;51.913139;4.421158;Nieuw Mathenesse;Groen;https://overmathenesse.nl/correspondent/dorpsplein-marconistraat;;plek;point
